_id,head,normalized_head
737,ka0qa0lam2pad0,kaalampad
738,qa0lam2pat0,alampat
739,qa2lan0,alan
740,qa2laŋ0,alang
741,qa0la0ŋa2qaŋ0,alangaang
742,qa0laŋ0qa2laŋ0,alang-alang
743,qa0laŋ0qa0laŋ1,alang-alang
744,pa0ŋa0laŋ0qa2laŋ0,pangalang-alang
745,qa0la0ŋi2qiŋ0,alangiing
746,qa0la0ŋi2lan0,alangilan
747,qa0la0ŋi2sig0,alangisig
748,qa0la0ŋit2ŋit0,alangitngit
749,qa0laŋ0su2han0,alangsuhan
750,qa0la0pa2hap0,alapahap
751,qa0lap0qa0lap1,alap-alap
752,qa0lap2qap0,alap-ap
753,qa0lap0qa0pun1,alap-apun
754,qa0lar2ma0,alarma
755,qa0la2ru0,alaru
756,qa0las1,alas
762,qi0ka0qa0las1,ikaalas
763,qa0las1,alas
764,qa0la0san1,alasan
766,qa0la0si2man0,alasiman
767,qa0la0siw2siw0,alasiwsiw
770,qa0la0su2qus0,alasuus
771,qa0lat1,alat
772,qa2lat0,alat
773,qa2lat0,alat
774,qa0la0tan1,alatan
775,qa0la2qut0,alaut
776,qa0law1,alaw
777,qa0law0qa2law0,alaw-alaw
778,qa2law0,alaw
779,qa0la2wan0,alawans
780,qa0la0wi2haw0,alawihaw
781,qa0la0wis2wis0,alawiswis
782,qa0la2yun0,alayun
783,ka0qa0la2yun0,kaalayun
784,qa0layu0nan0,alayunan
785,qa0la0yu0pi0yup1,alayupiyup
786,qal2ba0,alba
787,qi0nal2ba0,inalba
788,qal0ba0ha2ka0,albahaka
789,qal0baŋ2ku0,albangku
790,qal0ba2ti0,albati
791,qal0bi2nu0,albinu
792,qal0bu0lar2yu0,albularyu
793,qal2bum0,album
794,qal0gu0dun1,algudun
795,qal0gu0wa0sil1,alguwasil
796,qal0hi2bi0,alhibi
797,qal2hu0,alhu
798,qa2li0,ali
799,qa0li1,ali
800,qa0li0bag2bag0,alibagbag
801,pa0qa0li0bag2bag0,paalibagbag
802,qa0li0baŋ2baŋ0,alibangbang
803,qa0li0baŋ0ba0ŋun1,alibangbangun
804,qa0li0ba2ŋu0,alibangu
805,qa0li0bay1,alibay
806,qa0lib2hat0,alibhat
807,qa0li2bi0,alibi
808,qa0li0bus2bus0,alibusbus
