head,modified_head
akumpaniyár,kum0pa0ni0yár1
akumplísi,qump0lí2si0
akupqakúp,kup0qa0kúp1
akurdiyún,kur0di0yún1
akusádu,ku0sá2du0
akusár,ku0sár1
akusádu,ku0sá2du0
akusasiyún,ku0sa0si0yún1
akwáryum,qak0wár2yum0
akwíntans,qak0wín2tan0
ákyut,qákyut0
alá,lá1
Ála,la0
aláq,láq1
paŋálaq,pa0ŋá2laq0
álaq,laq0
alabádu,la0bá2du0
alabanít,la0ba0nít1
alabíhid,la0bí2hid0
alabútun,la0bú2tun0
álad,lad0
alagád,la0gád1
ulualágad,lu0qua0lá2qad0
agadqágad,gad0qá2gad0
alágad,lá2gad0
kaalagáran,ka0qaa0la0gá2qan0
maalagárun,ma0qaa0la0gá2qun0
alágdun,lág2dun0
alágqag,lág2qag0
alalagqagún,la0lag0qa0gún1
alagqagán,lag0qa0gán1
alagási,la0gá2si0
alagáw,la0gáw1
alagáy,la0gáy1
alagbáti,lag0bá2ti0
alágbay,lág2bay0
alagúbay,la0gú2bay0
alagúkuy,la0gú2kuy0
aláhas,lá2has0
maŋaalahás,ma0ŋa0qaa0la0qás
alahíru,la0hí2ru0
alahíru,la0hí2ru0
álak,lak0
alakáak,la0ká2qak0
alákri,lák2ri0
aláksiw,lák2siw0
álqal,qálqal0
álqal,qálqal0
alálay,lá2lay0
álam,lam0
kaálam,ka0qaáqam0
kinaádman,ki0na0qaádqan0
maálam,ma0qaáqam0
maálamun,ma0qaála0qun0
maŋgiálamun,maŋ0gi0qiála0qun0
makinaadmánun,ma0ki0na0qaad0má2qun0
pakamaálamun,pa0ka0ma0qaála0qun0
pakamaŋgiún,pa0ka0maŋ0gi0qún
pakamakinaadmánun,pa0ka0ma0ki0na0qaad0má2qun0
alámag,lá2mag0
máy,máy1
paŋalámag,pa0ŋa0lá2mag0
alamág,la0mág1
amagqamág,mag0qa0mág1
amagán,ma0gán1
alamqálam,lam0qá2lam0
maalamqalámun,ma0qaa0lam0qa0lá2qun0
alambíhid,lam0bí2hid0
alambíhud,lam0bí2hud0
alámbri,qámbri0
alámbri,qámbri0
alambrílyu,qamb0ríl2yu0
alambríru,qamb0rí2ru0
alámpad,lám2pad0
kaalámpad,ka0qaa0lám2qad0
alámpat,lám2pat0
álan,lan0
álaŋ,laŋ0
alaŋáaŋ,la0ŋá2qaŋ0
alaŋqálaŋ,laŋ0qá2laŋ0
alaŋqaláŋ,laŋ0qa0láŋ1
paŋalaŋqálaŋ,pa0ŋa0laŋ0qá2laŋ0
alaŋíiŋ,la0ŋí2qiŋ0
alaŋílan,la0ŋí2lan0
alaŋísig,la0ŋí2sig0
alaŋítŋit,la0ŋít2ŋit0
alaŋsúhan,laŋ0sú2han0
alapáhap,la0pá2hap0
alapqaláp,lap0qa0láp1
alápqap,láp2qap0
alapqapún,lap0qa0pún1
alárma,lár2ma0
aláru,lá2ru0
alás,lás1
ikaalás,ka0qaa0qás
alás,lás1
alasán,la0sán1
alasíman,la0sí2man0
alasíwsiw,la0síw2siw0
alasúus,la0sú2qus0
alát,lát1
álat,lat0
álat,lat0
alatán,la0tán1
aláut,lá2qut0
aláw,láw1
alawqálaw,law0qá2law0
álaw,law0
aláwans,lá2wan0
alawíhaw,la0wí2haw0
alawíswis,la0wís2wis0
aláyun,lá2yun0
kaaláyun,ka0qaa0lá2qun0
aláyunan,láyu0nan0
alayupiyúp,la0yu0pi0yúp1
álba,qálba0
inálba,nál2ba0
albaháka,qal0ba0há2ka0
albáŋku,qal0báŋ2ku0
albáti,qal0bá2ti0
albínu,qal0bí2nu0
albuláryu,qal0bu0lár2yu0
álbum,qálbum0
algudún,qal0gu0dún1
alguwasíl,qal0gu0wa0síl1
alhíbi,qal0hí2bi0
álhu,qálhu0
áli,li0
alí,lí1
alibágbag,li0bág2bag0
paalibágbag,pa0qaa0li0bág2qag0
alibáŋbaŋ,li0báŋ2baŋ0
alibaŋbaŋún,li0baŋ0ba0ŋún1
alibáŋu,li0bá2ŋu0
alibáy,li0báy1
alíbhat,líb2hat0
alíbi,lí2bi0
alibúsbus,li0bús2bus0
alíbwag,líb2wag0
alíbyu,líb2yu0
alídqan,líd2qan0
alídqi,líd2qi0
aligqalíg,lig0qa0líg1
aligasiyún,li0ga0si0yún1
aligatú,li0ga0tú1
aligáya,li0gá2ya0
aligí,li0gí1
alígqig,líg2qig0
inaligqígay,na0lig0qí2gay0
aligqigún,lig0qi0gún1
aligqigunún,lig0qi0gu0nún1
alígri,líg2ri0
aligrihún,lig0ri0hún1
aliguríya,li0gu0rí2ya0
aligútgut,li0gút2gut0
aligútgut,li0gút2gut0
kaaligútgut,ka0qaa0li0gút2qut0
alihíd,li0híd1
alíid,lí2qid0
alikabú,li0ka0bú1
alikási,li0ká2si0
