_id,head,normalized_head
696,alagúbay,alagubay
697,alagúkuy,alagukuy
698,aláhas,alahas
699,mangaalahas,mangaalahas
700,alahíru,alahiru
701,alahíru,alahiru
702,álak,alak
703,alakáak,alakaak
704,alakri,alakri
705,alaksiw,alaksiw
706,al-al,al-al
707,al-al,al-al
708,alálay,alalay
709,álam,alam
710,kaálam,kaalam
711,kinaadman,kinaadman
712,maálam,maalam
713,maálamun,maalamun
714,manggiálamun,manggialamun
715,makinaadmánun,makinaadmanun
716,pakamaálamun,pakamaalamun
717,pakamanggiun,pakamanggiun
718,pakamakinaadmánun,pakamakinaadmanun
719,alámag,alamag
720,may,may
721,walay alámag,walay alamag
722,pangalámag,pangalamag
723,alamag,alamag
724,amag-amag,amag-amag
725,amagan,amagan
726,alam-álam,alam-alam
727,maalam-alámun,maalam-alamun
728,alambíhid,alambihid
729,alambíhud,alambihud
730,alambri,alambri
731,alambring pinutus,alambring pinutus
732,alambring tunukun,alambring tunukun
733,alambri,alambri
734,alambrilyu,alambrilyu
735,alambríru,alambriru
736,alampad,alampad
737,kaalampad,kaalampad
738,alampat,alampat
739,álan,alan
740,álang,alang
741,alangáang,alangaang
742,alang-álang,alang-alang
743,alang-alang,alang-alang
744,pangalang-álang,pangalang-alang
745,alangíing,alangiing
746,alangílan,alangilan
747,alangísig,alangisig
748,alangitngit,alangitngit
749,alangsúhan,alangsuhan
750,alapáhap,alapahap
751,alap-alap,alap-alap
752,alap-ap,alap-ap
753,alap-apun,alap-apun
754,alarma,alarma
755,aláru,alaru
756,alas,alas
757,alas [number],alas [number]
758,Ala úna,ala una
759,alas dus,alas dus
760,alas tris,alas tris
761,túlin pa sa alas kwatru,tulin pa sa alas kwatru
762,ikaalas,ikaalas
763,alas,alas
764,alasan,alasan
765,alas dúsi,alas dusi
766,alasíman,alasiman
767,alasiwsiw,alasiwsiw
768,alas kwatru,alas kwatru
769,alas utsu,alas utsu
770,alasúus,alasuus
771,alat,alat
772,álat,alat
773,álat,alat
774,alatan,alatan
775,aláut,alaut
776,alaw,alaw
777,alaw-álaw,alaw-alaw
778,álaw,alaw
779,aláwans,alawans
780,alawíhaw,alawihaw
781,alawiswis,alawiswis
782,aláyun,alayun
783,kaaláyun,kaalayun
784,aláyunan,alayunan
785,alayupiyup,alayupiyup
786,alba,alba
787,inalba,inalba
788,albaháka,albahaka
789,albangku,albangku
790,albáti,albati
791,albínu,albinu
792,albularyu,albularyu
793,album,album
794,algudun,algudun
795,alguwasil,alguwasil
796,alhíbi,alhibi
797,alhu,alhu
798,áli,ali
799,ali,ali
800,alibagbag,alibagbag
801,paalibagbag,paalibagbag
802,alibangbang,alibangbang
803,alibangbangun,alibangbangun
804,alibángu,alibangu
805,alibay,alibay
806,alibhat,alibhat
807,alíbi,alibi
808,alibusbus,alibusbus
809,alibwag,alibwag
810,alibyu,alibyu
811,alid-an,alid-an
812,alid-i,alid-i
813,alig-alig,alig-alig
814,aligasiyun,aligasiyun
815,aligatu,aligatu
816,aligáya,aligaya
817,aligi,aligi
818,alig-ig,alig-ig
819,inalig-ígay,inalig-igay
820,alig-igun,alig-igun
821,alig-igunun,alig-igunun
822,aligri,aligri
823,aligrihun,aligrihun
824,aliguríya,aliguriya
825,aligutgut,aligutgut
826,aligutgut,aligutgut
827,kaaligutgut,kaaligutgut
828,alihid,alihid
829,alíid,aliid
830,alikabu,alikabu
831,alikási,alikasi
832,alikáti,alikati
833,alikáti sa múrus,alikati sa murus
834,alikúmù,alikumu
835,alikún,alikun
836,alikway,alikway
837,alíli,alili
838,alíling,aliling
839,alílis,alilis
840,alilúya,aliluya
841,alilúyuk,aliluyuk
842,álim,alim
843,paálim,paalim
844,álim,alim
845,alíma,alima
846,alimadmad,alimadmad
847,aliman,aliman
848,alimángu,alimangu
849,alimanguhun,alimanguhun
850,Alimanya,alimanya
851,alimása,alimasa
852,pangalimása,pangalimasa
853,alimásag,alimasag
854,alimatmat,alimatmat
855,alimátuk,alimatuk
856,kaalimátuk,kaalimatuk
857,alimatukan,alimatukan
858,alimbrilyu,alimbrilyu
859,alimbúkad,alimbukad
860,alimgas,alimgas
861,alimgasan,alimgasan
862,alimgat,alimgat
863,alimpatakan,alimpatakan
864,alimpúlu,alimpulu
865,alimpulúhan,alimpuluhan
866,kinaalimpuluhan,kinaalimpuluhan
867,alimpúlus,alimpulus
868,alimpuyang,alimpuyang
869,alimpuyas,alimpuyas
870,alimpuying,alimpuying
871,alimugmug,alimugmug
872,alimúkaw,alimukaw
873,alimúkun,alimukun
874,alimúngaw,alimungaw
875,alimungáwung,alimungawung
876,alimúsan,alimusan
877,alimúut,alimuut
878,alimúut ug nawung,alimuut ug nawung
879,alimyun,alimyun
880,pangalimyun,pangalimyun
881,alindáhaw,alindahaw
882,alindánaw,alindanaw
883,alindánga,alindanga
884,alindángay,alindangay
885,alindasay,alindasay
886,alinga,alinga
887,alingabngab,alingabngab
888,alingagngag,alingagngag
889,alingagngagan,alingagngagan
890,alingása,alingasa
891,kaalingása,kaalingasa
892,alingása,alingasa
893,kaalingása,kaalingasa
894,alingásu,alingasu
895,alingasúhun,alingasuhun
896,alingawngaw,alingawngaw
897,paalingawngaw,paalingawngaw
898,alingawngaw,alingawngaw
899,alinggánay,alingganay
900,alinggat,alinggat
901,alingíing,alingiing
902,alingísi,alingisi
903,alingísig,alingisig
904,alingisngis,alingisngis
905,alingit,alingit
906,alingiting,alingiting
907,alingkawas,alingkawas
908,alingugngug,alingugngug
909,alinsúub,alinsuub
910,alintabu,alintabu
911,alinupung,alinupung
912,alipadnu,alipadnu
913,alipadsay,alipadsay
914,alipanti,alipanti
915,alipasa,alipasa
916,alipáta,alipata
917,alipátà,alipata
918,alipatpat,alipatpat
919,alip-ip,alip-ip
920,alip-ip,alip-ip
921,alipúlu,alipulu
922,alipúlung,alipulung
923,alipunga,alipunga
924,alipungà,alipunga
925,alipúnga,alipunga
926,alipúnga,alipunga
927,aliputu,aliputu
928,alipútu,aliputu
929,alíraw,aliraw
930,alirdyik,alirdyik
931,alírung,alirung
932,alisbu,alisbu
933,alisbung,alisbung
934,alisdan,alisdan
935,alisdi,alisdi
936,alisiwsiw,alisiwsiw
937,alisngaw,alisngaw
938,pangalisngaw,pangalisngaw
939,inalisngaw,inalisngaw
940,alistu,alistu
941,alisuksuk,alisuksuk
942,alitundan,alitundan
943,aliwálang,aliwalang
944,aliwarus,aliwarus
945,aliwárus,aliwarus
946,alíwas,aliwas
947,alíwasun,aliwasun
948,aliwasa,aliwasa
949,aliwása,aliwasa
950,aliyupyup,aliyupyup
951,alkabála,alkabala
952,alkaldi,alkaldi
953,alkampur,alkampur
954,alkampuradu,alkampuradu
955,asayti alkampuradu,asayti alkampuradu
956,dialkampur,dialkampur
957,alkansi,alkansi
958,alkansi sa lutaw,alkansi sa lutaw
959,alkansíya,alkansiya
960,alkaydi,alkaydi
961,alkila,alkila
962,alkitran,alkitran
963,alkúba,alkuba
964,alkuhíris,alkuhiris
965,alkuhul,alkuhul
966,alkuhulíra,alkuhulira
967,alkumbra,alkumbra
968,alkuntra,alkuntra
969,almagri,almagri
970,almamátir,almamatir
971,almanáki,almanaki
972,almasíga,almasiga
973,almasin,almasin
974,almindras,almindras
975,almiranti,almiranti
976,almiris,almiris
977,almirul,almirul
978,almismutyimpu,almismutyimpu
979,almuháda,almuhada
980,almuhadun,almuhadun
981,almundigas,almundigas
982,almunída,almunida
983,almuránas,almuranas
984,alpa,alpa
985,pangalpa,pangalpa
986,alpabitayis,alpabitayis
987,alpáka,alpaka
988,alpalpa,alpalpa
989,alpalpahan,alpalpahan
990,alpilir,alpilir
991,pangalpilir,pangalpilir
992,alpilir dinágum,alpilir dinagum
993,alpiril,alpiril
994,alpirin,alpirin
995,alpirisíya,alpirisiya
996,alpumbra,alpumbra
997,alpunsínu,alpunsinu
998,alput,alput
999,alsa,alsa
1000,alsa ang kabúhì,alsa ang kabuhi
1001,alsa butang,alsa butang
1002,inalsa,inalsa
1003,alsádu — ug kabúhì,alsadu — ug kabuhi
1004,alsa ug kamut,alsa ug kamut
1005,alsamyintu,alsamyintu
1006,alta,alta
1007,alta prisyun,alta prisyun
1008,alta susyidad,alta susyidad
1009,dialta,dialta
1010,dialta mar,dialta mar
1011,altar,altar
1012,altu,altu
1013,altu,altu
1014,alu,alu
1015,aluálu,alualu
1016,alualuhan,alualuhan
1017,maalualuhun,maalualuhun
1018,aluhánay,aluhanay
1019,álù,alu
1020,alubíhid,alubihid
1021,alud-ud,alud-ud
1022,alud-údun,alud-udun
1023,alug,alug
1024,alugbáti,alugbati
1025,alug-ug,alug-ug
1026,aluhánay,aluhanay
1027,aluhípan,aluhipan
1028,alukaba,alukaba
1029,alukabhang,alukabhang
1030,alúla,alula
1031,alum,alum
1032,alúman,aluman
1033,álum,alum
1034,alúmun,alumun
1035,álum,alum
1036,aluminum,aluminum
1037,aluminum rápir,aluminum rapir
1038,alumínus,aluminus
1039,alumnus,alumnus
1040,alum-um,alum-um
1041,álun,alun
1042,alundris,alundris
1043,alundris,alundris
1044,álung,alung
1045,álung,alung
1046,alung-álung,alung-alung
1047,alungáing,alungaing
1048,alungáingun,alungaingun
1049,alungaug,alungaug
1050,alungnan,alungnan
1051,álup,alup
1052,alup,alup
1053,alupaup,alupaup
1054,alupì,alupi
1055,alup-up,alup-up
1056,alupuup,alupuup
1057,álus,alus
1058,paálus,paalus
1059,alusíman,alusiman
1060,alut,alut
1061,paalut,paalut
1062,aluwíhaw,aluwihaw
1063,aluy,aluy
1064,aluy subjunctive passive verb,aluy subjunctive passive verb
1065,aluy,aluy
1066,áluy,aluy
1067,aluyan,aluyan
1068,alúyuk,aluyuk
1069,alúyukan,aluyukan
1070,kinaaluyukan,kinaaluyukan
1071,alyádu,alyadu
1072,alyádus,alyadus
1073,alyansa,alyansa
1074,alyas,alyas
1075,alyin,alyin
1076,ama,ama
1077,ama námù,ama namu
1078,manámù.,manamu.
1079,pangama,pangama
1080,amaáma,amaama
1081,amaáma sa buti,amaama sa buti
1082,amahan,amahan
1083,amahan námù,amahan namu
1084,pangamahan,pangamahan
1085,amáun,amaun
1086,amá,ama
1087,ámag,amag
1088,amaga,amaga
1089,amag-amag,amag-amag
1090,amagan,amagan
1091,amagus,amagus
1092,amágus,amagus
1093,amahan,amahan
1094,amahung,amahung
1095,amákan,amakan
1096,inamákan,inamakan
1097,am-am,am-am
1098,hiam-am,hiam-am
1099,haam-am,haam-am
1100,am-ám,am-am
1101,amamahung,amamahung
1102,amamakul,amamakul
1103,amamaliw,amamaliw
1104,amamangkas,amamangkas
1105,amamangluy,amamangluy
1106,amamangpang,amamangpang
1107,amamaylan,amamaylan
1108,amang,amang
1109,inamang,inamang
1110,amang-amang,amang-amang
1111,amangtan,amangtan
1112,amanti,amanti
1113,prinsipi amanti,prinsipi amanti
